hoa_label,latitude,longitude,legalAcreage,imprvActualYearBuilt,ShapeSTLength,ShapeSTArea,improvementValue,propType,situs_city,compactness,has_sidewalk
1.0,33.19640183471222,-97.06124736658283,0.171,2023.0,368.7697621872939,7486.104769382054,225145.0,R,DENTON,18.165807411602493,False
1.0,32.99741019295143,-97.39519677643467,0.174,2024.0,371.1479904939032,7521.52316132117,339244.0,R,FORT WORTH,18.3142201244603,False
1.0,33.20852551929236,-96.871370247592,0.194,2021.0,412.0622688230293,9100.57357672097,703531.0,R,FRISCO,18.657649647700715,False
1.0,33.11614873519202,-97.24533203679852,0.224,2024.0,421.2452026133422,9473.948589410424,654082.0,R,NORTHLAKE,18.730048938950222,False
1.0,33.05806563850014,-96.90249402691109,0.0941,2019.0,279.4141438993421,4054.454057381228,381611.0,R,THE COLONY,19.255925139630055,False
1.0,33.26451522335503,-96.84242164282917,0.143,2022.0,347.15924121299963,6119.308056215321,461531.0,R,PROSPER,19.69496185719481,False
1.0,32.99090414280701,-96.90792467478188,0.118,2017.0,309.18879336778497,5008.363887128935,350455.0,R,CARROLLTON,19.087612661273425,False
1.0,33.01800722289433,-97.30504993747964,0.1282,2010.0,310.36586874802884,5395.919431535393,224288.0,R,FORT WORTH,17.851818157394003,False
0.0,33.184720348941866,-97.1613615573685,1.91,0.0,3211.6951564097503,96560.41496072667,0.0,R,,106.82416580232376,False
1.0,33.20788278982879,-96.89817582370894,0.1726,2014.0,360.96793708578576,7560.457207952922,320150.0,R,LITTLE ELM,17.234123283828147,False
0.0,33.2352006508486,-97.2459508245956,1.3,0.0,1401.1986633538968,57101.81537926417,0.0,R,KRUM,34.38345490671942,True
1.0,33.18256008938171,-96.96176354016453,0.146,2016.0,352.1968178678517,6260.400846322579,333419.0,R,LITTLE ELM,19.813842845079883,False
1.0,33.25293929000384,-97.16757392252154,0.1377,2022.0,342.054846858684,6112.464951274822,359094.0,R,,19.14146243654384,False
1.0,32.99120115144997,-96.90659822274992,0.185,2016.0,357.1605373191308,7942.88421351752,614570.0,R,CARROLLTON,16.06011695361205,True
